;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variables;;;;;;;;;Parameters;;;;;;;;;;;;;;;;;;
Variable Name;Variable Symbol;Value;Unit;Comment;;;;;Info;;;;Max;;;;;;;Continuous ;;;;;;;
;;;;;;;;;Magnax AXF350;;https://www.researchgate.net/publication/326294480_The_Greenliner_Green_Flying_Final_Report_DSE_Group_8#pf2c (page 40);;;;;;;42,00;;240,00;;;;;;;Red means that it is an avarage
;;;;;;;;;MAGicALL Magidrive 6;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;1,10;;5,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 12;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;2,25;;10,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 20;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;4,50;;16,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 40;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;7,50;;32,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 75;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;14,25;;60,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 150;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;25,50;;120,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 300;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;45,00;;240,00;;;;;;;
;;;;;;;;;MAGicALL Magidrive 500;;https://www.magicall.biz/products/integrated-motor-controller-magidrive/;;;;;;;75,00;;400,00;;;;;;;
;;;;;;;;;Beyond AXM2 ;;https://www.beyondmotors.io/e-motors;;;;;;;14,50;;75,00;;;;;;;
;;;;;;;;;Beyond AXM3;;https://www.beyondmotors.io/e-motors;;;;;;;27,00;;130,00;;;;;;;
;;;;;;;;;Beyond AXM4;;https://www.beyondmotors.io/e-motors;;;;;;;48,00;;230,00;;;;;;;
;;;;;;;;;H3X HPDM 30;;https://www.h3x.tech/#hpdm-30;;;;;;;4,10;;33,00;;;;;;;
;;;;;;;;;H3X HPDM 250;;https://www.h3x.tech/#hdpm-250;;;;;;;18,70;;200,00;;;;;;;
;;;;;;;;;MGM Ret 20;;https://www.mgm-compro.com/electric-motor/13-kw-electric-motor/;;;;;;;3,10;;8,50;;;;;;;
;;;;;;;;;MGM REG 60;;https://www.mgm-compro.com/electric-motor/15-kw-electric-motor-2/;;;;;;;3,75;;10,00;;;;;;;
;;;;;;;;;MGM RET 30;;https://www.mgm-compro.com/electric-motor/15-kw-electric-motor/;;;;;;;4,00;;10,00;;;;;;;
;;;;;;;;;MGM REX 30;;https://www.mgm-compro.com/electric-motor/25-kw-electric-motor/;;;;;;;2,64;;16,00;;;;;;;
;;;;;;;;;MGM REX 50;;https://www.mgm-compro.com/electric-motor/35-kw-electric-motor-2/;;;;;;;2,86;;22,50;;;;;;;
;;;;;;;;;MGM RET 60;;https://www.mgm-compro.com/electric-motor/35-kw-electric-motor/;;;;;;;2,46;;22,50;;;;;;;
;;;;;;;;;MGM REB 30;;https://www.mgm-compro.com/electric-motor/40-kw-electric-motor/;;;;;;;5,52;;27,50;;;;;;;
;;;;;;;;;MGM REB 50;;https://www.mgm-compro.com/electric-motor/50-kw-electric-motor/;;;;;;;5,69;;35,00;;;;;;;
;;;;;;;;;MGM REB 60;;https://www.mgm-compro.com/electric-motor/60-kw-electric-motor/;;;;;;;10,57;;40,00;;;;;;;
;;;;;;;;;MGM REX 90;;https://www.mgm-compro.com/electric-motor/70-kw-electric-motor/;;;;;;;17,30;;45,00;;;;;;;
;;;;;;;;;MGM REB 90;;https://www.mgm-compro.com/electric-motor/80-kw-electric-motor/;;;;;;;23,80;;65,00;;;;;;;
;;;;;;;;;Yasa p400;;https://yasa.com/media/2021/05/yasa-p400rdatasheet-rev-14.pdf;;;;;;;28,20;;60,00;;;;;;;
;;;;;;;;;Yasa p750;;https://yasa.com/media/2021/05/yasa-750rdatasheet-rev-11.pdf;;;;;;;37,00;;70,00;;;;;;;
;;;;;;;;;Evolito D250;;https://evolito.aero/axial-flux-motors/#D250:%20Low%20torque,%20high%20speed.;;;;;;;8,30;;207,00;;;;;;;
;;;;;;;;;Evolito D1500;;https://evolito.aero/axial-flux-motors/#D500:%20Mid%20torque,%20mid%20speed.;;;;;;;35,00;;100,00;;;;;;;
;;;;;;;;;Phi power 301;;https://www.phi-power.com/wp-content/uploads/2018/05/Phi301-Spec_Sheet-V1.3.pdf;;;;;;;29,00;;85,00;;;;;;;
;;;;;;;;;Phi power 271;;https://www.phi-power.com/wp-content/uploads/2018/05/Phi271-Spec_Sheet-V1.3.pdf;;;;;;;20,00;;90,00;;;;;;;
;;;;;;;;;Phi power 271S;;https://www.phi-power.com/wp-content/uploads/2017/04/Phi27s-Specsheet-V1.3.pdf;;;;;;;12,00;;45,00;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Honeywell;;;;;;;;;;;;;;;;;;
;;;;;;;;;MagniX magni350;;;;;;;;;;;;;;;;;;
;;;;;;;;;MP240150;;https://www.freerchobby.cc/collections/heavyload;;;;;;;;;;;;;;;;
